(sec),(mm),(kgf)
0,0.00005,-0.18854
0.1,0.00514,0.37384
0.2,0.01318,2.44522
0.3,0.01998,3.97493
0.4,0.02662,5.24597
0.5,0.03348,6.38798
0.6,0.04002,7.45526
0.7,0.04666,8.53697
0.8,0.05346,9.54262
0.9,0.06005,10.5368
1,0.06664,11.54107
1.1,0.07345,12.48339
1.2,0.08009,13.38588
1.3,0.08673,14.30014
1.4,0.09343,15.11019
1.5,0.10007,15.88941
1.6,0.10677,16.65097
1.7,0.11341,17.34145
1.8,0.11995,17.9792
1.9,0.12675,18.64536
2,0.13339,19.19132
2.1,0.13998,19.65555
2.2,0.14679,20.16989
2.3,0.15343,20.57125
2.4,0.16002,20.94246
2.5,0.16682,21.36279
2.6,0.1733,21.66568
2.7,0.17989,22.02801
2.8,0.18686,22.41303
2.9,0.19339,22.69993
3,0.19998,22.99446
3.1,0.20684,23.27847
3.2,0.21337,23.48676
3.3,0.21996,23.68111
3.4,0.22671,23.8647
3.5,0.23336,24.03913
3.6,0.24005,24.15463
3.7,0.2468,24.25607
3.8,0.25339,24.29582
3.9,0.26009,24.37035
4,0.26679,24.41511
4.1,0.27332,24.47142
4.2,0.28002,24.53923
4.3,0.28671,24.577
4.4,0.29336,24.61588
4.5,0.30011,24.69433
4.6,0.3067,24.72591
4.7,0.31334,24.73304
4.8,0.32009,24.82213
4.9,0.32668,24.84035
5,0.33327,24.84781
5.1,0.34007,24.92261
5.2,0.34671,24.93116
5.3,0.3533,24.9596
5.4,0.36016,25.04004
5.5,0.3667,25.08757
5.6,0.37334,25.10347
5.7,0.38014,25.13324
5.8,0.38668,25.16393
5.9,0.39332,25.25346
6,0.40018,25.27875
6.1,0.40671,25.28462
6.2,0.41336,25.37529
6.3,0.42011,25.40237
6.4,0.42675,25.43455
6.5,0.43339,25.49922
6.6,0.43998,25.49152
6.7,0.44668,25.51942
6.8,0.45343,25.56455
6.9,0.46007,25.54307
7,0.46666,25.56159
7.1,0.47346,25.60701
7.2,0.48005,25.60614
7.3,0.48664,25.59999
7.4,0.49339,25.65784
7.5,0.49998,25.68927
7.6,0.50668,25.73074
7.7,0.51354,25.78338
7.8,0.52002,25.83916
7.9,0.52661,25.8702
8,0.53352,25.93613
8.1,0.54,25.94936
8.2,0.54659,25.98347
8.3,0.55345,26.0002
8.4,0.56009,25.984
8.5,0.56668,25.99011
8.6,0.57343,26.0141
8.7,0.58007,26.02732
8.8,0.58671,26.07656
8.9,0.59341,26.11666
9,0.6,26.12673
9.1,0.6067,26.17142
9.2,0.61339,26.19793
9.3,0.62004,26.17254
9.4,0.62673,26.22451
9.5,0.63337,26.2323
9.6,0.64007,26.22375
9.7,0.64682,26.27418
9.8,0.6533,26.25896
9.9,0.66,26.27604
10,0.66686,26.34398
10.1,0.67334,26.34135
10.2,0.67993,26.38093
10.3,0.68684,26.39417
10.4,0.69343,26.3942
10.5,0.69996,26.40774
10.6,0.70671,26.37415
10.7,0.71336,26.37783
10.8,0.72,26.40314
10.9,0.7268,26.41718
11,0.73339,26.42739
11.1,0.74004,26.47218
11.2,0.74679,26.487
11.3,0.75337,26.485
11.4,0.75996,26.54858
11.5,0.76666,26.54464
11.6,0.77341,26.55975
11.7,0.78011,26.61382
11.8,0.78675,26.62734
11.9,0.79334,26.63128
12,0.80014,26.7093
12.1,0.80668,26.72828
12.2,0.81327,26.76301
12.3,0.82007,26.82523
12.4,0.82671,26.83372
12.5,0.8333,26.86188
12.6,0.84016,26.91931
12.7,0.84664,26.94085
12.8,0.85334,26.9984
12.9,0.86014,27.02004
13,0.86662,27.041
13.1,0.87332,27.06366
13.2,0.88018,27.11391
13.3,0.88671,27.11387
13.4,0.8933,27.16654
13.5,0.90011,27.18533
13.6,0.90675,27.21099
13.7,0.91339,27.2503
13.8,0.92004,27.28035
13.9,0.92668,27.29238
14,0.93343,27.32985
14.1,0.94007,27.31465
14.2,0.94666,27.34719
14.3,0.95341,27.40576
14.4,0.96011,27.4044
14.5,0.96664,27.39734
14.6,0.97339,27.47967
14.7,0.97998,27.45693
14.8,0.98668,27.4551
14.9,0.99348,27.49231
15,1.00002,27.48323
15.1,1.00661,27.45851
15.2,1.01352,27.50604
15.3,1.02,27.50596
15.4,1.02659,27.50747
15.5,1.03345,27.53698
15.6,1.04004,27.52737
15.7,1.04668,27.57025
15.8,1.05348,27.59017
15.9,1.06007,27.5817
16,1.06671,27.63339
16.1,1.07346,27.63485
16.2,1.08,27.62798
16.3,1.0867,27.68071
16.4,1.09345,27.69639
16.5,1.10004,27.65489
16.6,1.10673,27.75446
16.7,1.11337,27.73548
16.8,1.12007,27.7149
16.9,1.12677,27.78477
17,1.13336,27.78537
17.1,1.13995,27.77899
17.2,1.1468,27.83652
17.3,1.15339,27.83003
17.4,1.15998,27.82653
17.5,1.16678,27.85099
17.6,1.17337,27.86025
17.7,1.18002,27.86131
17.8,1.18682,27.89971
17.9,1.19336,27.89298
18,1.2,27.86798
18.1,1.20686,27.89257
18.2,1.21339,27.88071
18.3,1.21998,27.88463
18.4,1.22689,27.90489
18.5,1.23337,27.88854
18.6,1.23996,27.90559
18.7,1.24671,27.91082
18.8,1.25336,27.91301
18.9,1.26,27.92976
19,1.26675,27.91513
19.1,1.27339,27.9208
19.2,1.28009,27.98212
19.3,1.28673,27.96423
19.4,1.29332,27.95112
19.5,1.30007,27.99627
19.6,1.30666,27.99
19.7,1.31336,27.96333
19.8,1.32016,28.01788
19.9,1.3267,27.98292
20,1.33334,27.98036
20.1,1.34014,27.96587
20.2,1.34662,27.9586
20.3,1.35327,27.99112
20.4,1.36018,27.99911
20.5,1.36671,27.96393
20.6,1.3733,27.99548
20.7,1.38011,27.9876
20.8,1.38675,27.99934
20.9,1.39328,28.00555
21,1.40009,28.02775
21.1,1.40668,28.0165
21.2,1.41332,28.05627
21.3,1.42012,28.05581
21.4,1.42671,28.03073
21.5,1.43336,28.06344
21.6,1.44005,28.03552
21.7,1.4467,28.0345
21.8,1.45339,28.09595
21.9,1.45998,28.08111
22,1.46662,28.11333
22.1,1.47343,28.13314
22.2,1.48002,28.12299
22.3,1.48666,28.14503
22.4,1.49352,28.17193
22.5,1.5,28.17377
22.6,1.50664,28.19215
22.7,1.51345,28.2285
22.8,1.51998,28.23762
22.9,1.52662,28.25161
23,1.53353,28.25835
23.1,1.54007,28.25572
23.2,1.54671,28.27561
23.3,1.55346,28.29943
23.4,1.56005,28.29066
23.5,1.56664,28.33925
23.6,1.57339,28.32913
23.7,1.58009,28.33113
23.8,1.58673,28.37047
23.9,1.59343,28.38898
24,1.60007,28.33277
24.1,1.60671,28.40599
24.2,1.61336,28.37823
24.3,1.62,28.36457
24.4,1.62675,28.43262
24.5,1.63339,28.41077
24.6,1.64003,28.41309
24.7,1.64678,28.46598
24.8,1.65337,28.45883
24.9,1.65996,28.41401
25,1.66682,28.47023
25.1,1.6733,28.44037
25.2,1.67995,28.48913
25.3,1.68686,28.51806
25.4,1.69334,28.50508
25.5,1.69998,28.50974
25.6,1.70678,28.52675
25.7,1.71337,28.54358
25.8,1.71996,28.5254
25.9,1.72677,28.56461
26,1.73336,28.54989
26.1,1.74,28.58642
26.2,1.74675,28.58746
26.3,1.75339,28.569
26.4,1.76009,28.6206
26.5,1.76678,28.60824
26.6,1.77337,28.60187
26.7,1.78002,28.65764
26.8,1.78671,28.6287
26.9,1.79336,28.61653
27,1.80011,28.67228
27.1,1.80675,28.6733
27.2,1.81334,28.6685
27.3,1.82014,28.73404
27.4,1.82668,28.70599
27.5,1.83327,28.69622
27.6,1.84012,28.74326
27.7,1.84671,28.72823
27.8,1.85336,28.73775
27.9,1.86016,28.76257
28,1.8667,28.73272
28.1,1.87328,28.74711
28.2,1.88014,28.72647
28.3,1.88668,28.75254
28.4,1.89332,28.7907
28.5,1.90018,28.78166
28.6,1.90671,28.78912
28.7,1.91336,28.806
28.8,1.92005,28.78622
28.9,1.9267,28.78043
29,1.93339,28.8246
29.1,1.94003,28.79194
29.2,1.94668,28.77262
29.3,1.95343,28.83113
29.4,1.96007,28.80562
29.5,1.96666,28.77136
29.6,1.97346,28.8244
29.7,1.98005,28.84092
29.8,1.98664,28.80523
29.9,1.99345,28.84152
30,1.99998,28.87004
30.1,2.00668,28.86411
30.2,2.01348,28.91281
30.3,2.02002,28.90146
30.4,2.02666,28.91113
30.5,2.03357,28.93438
30.6,2.04005,28.92914
30.7,2.04659,28.95333
30.8,2.05345,28.96748
30.9,2.06009,28.97893
31,2.06668,29.00473
31.1,2.07348,29.00556
31.2,2.08007,28.98554
31.3,2.08671,29.02157
31.4,2.09336,29.03394
31.5,2.09994,29.01654
31.6,2.10664,29.05064
31.7,2.11344,29.0583
31.8,2.12003,29.03139
31.9,2.12673,29.09987
32,2.13337,29.07896
32.1,2.14002,29.05442
32.2,2.14677,29.11674
32.3,2.15325,29.07966
32.4,2.16,29.07643
32.5,2.16686,29.10129
32.6,2.17339,29.0525
32.7,2.17998,28.98879
32.8,2.18684,28.99906
32.9,2.19337,28.99548
33,2.19996,29.01983
33.1,2.20677,29.03812
33.2,2.21336,29.07106
33.3,2.22,29.10204
33.4,2.22686,29.13137
33.5,2.23339,29.08925
33.6,2.23998,29.11881
33.7,2.24678,29.16035
33.8,2.25337,29.13393
33.9,2.25996,29.17915
34,2.26671,29.19737
34.1,2.27341,29.17479
34.2,2.28005,29.21314
34.3,2.28669,29.18573
34.4,2.29334,29.18598
34.5,2.30014,29.23287
34.6,2.30668,29.21526
34.7,2.31327,29.18164
34.8,2.32007,29.23501
34.9,2.32666,29.22962
35,2.3333,29.24278
35.1,2.34016,29.24365
35.2,2.34669,29.27058
35.3,2.35334,29.27339
35.4,2.36014,29.2735
35.5,2.36662,29.26366
35.6,2.37327,29.27642
35.7,2.38012,29.29551
35.8,2.38671,29.25597
35.9,2.39336,29.2637
36,2.40011,29.29336
36.1,2.40675,29.29451
36.2,2.41334,29.35434
36.3,2.42003,29.34329
36.4,2.42668,29.34337
36.5,2.43343,29.37932
36.6,2.44007,29.37198
36.7,2.44671,29.37273
36.8,2.45341,29.42112
36.9,2.46011,29.44315
37,2.46664,29.41639
37.1,2.47339,29.46217
37.2,2.47998,29.4612
37.3,2.48668,29.45652
37.4,2.49348,29.50971
37.5,2.50002,29.50563
37.6,2.50661,29.47471
37.7,2.51352,29.53147
37.8,2.52,29.55091
37.9,2.52659,29.53825
38,2.53344,29.56381
38.1,2.54003,29.57701
38.2,2.54668,29.57644
38.3,2.55343,29.58587
38.4,2.56007,29.59054
38.5,2.56671,29.60068
38.6,2.57346,29.60218
38.7,2.58,29.60768
38.8,2.58664,29.65272
38.9,2.59339,29.65509
39,2.60003,29.65863
39.1,2.60673,29.68047
39.2,2.61337,29.69287
39.3,2.62007,29.7021
39.4,2.62677,29.71115
39.5,2.6333,29.70762
39.6,2.63994,29.72512
39.7,2.6468,29.74373
39.8,2.65339,29.72822
39.9,2.65998,29.71393
40,2.66678,29.74767
40.1,2.67337,29.76198
40.2,2.67996,29.75584
40.3,2.68677,29.78043
40.4,2.69336,29.78167
40.5,2.7,29.77782
40.6,2.70686,29.78793
40.7,2.71339,29.81396
40.8,2.71998,29.83793
40.9,2.72678,29.85956
41,2.73337,29.8109
41.1,2.74002,29.84345
41.2,2.74671,29.86148
41.3,2.75336,29.83173
41.4,2.76005,29.88282
41.5,2.76675,29.87394
41.6,2.77334,29.8553
41.7,2.78009,29.90357
41.8,2.78673,29.89892
41.9,2.79332,29.89419
42,2.80007,29.93558
42.1,2.80671,29.92571
42.2,2.81336,29.91055
42.3,2.82011,29.96338
42.4,2.82669,29.94497
42.5,2.83339,29.95219
42.6,2.84019,29.94774
42.7,2.84668,29.97602
42.8,2.85332,29.96408
42.9,2.86012,29.98641
43,2.86671,29.96473
43.1,2.87336,29.99814
43.2,2.88016,30.00906
43.3,2.88675,29.99415
43.4,2.89334,30.00511
43.5,2.90009,30.01831
43.6,2.90668,30.03367
43.7,2.91332,30.04476
43.8,2.92012,30.05243
43.9,2.92671,30.03741
44,2.93336,30.05829
44.1,2.94011,30.07711
44.2,2.94669,30.05049
44.3,2.95339,30.08996
44.4,2.95998,30.08942
44.5,2.96668,30.08841
44.6,2.97348,30.12474
44.7,2.98007,30.1077
44.8,2.98666,30.10801
44.9,2.99346,30.12513
45,3,30.14443
45.1,3.00664,30.12419
45.2,3.01344,30.16744
45.3,3.02003,30.14065
45.4,3.02668,30.14808
45.5,3.03348,30.14257
45.6,3.04002,30.14604
45.7,3.04666,30.17177
45.8,3.05352,30.15818
45.9,3.06005,30.15221
46,3.06664,30.17452
46.1,3.07344,30.20856
46.2,3.08009,30.19281
46.3,3.08668,30.19751
46.4,3.09337,30.19994
46.5,3.10007,30.19303
46.6,3.10671,30.22658
46.7,3.11336,30.20667
46.8,3.12,30.21643
46.9,3.12675,30.26087
47,3.13339,30.24354
47.1,3.14003,30.23597
47.2,3.14678,30.26021
47.3,3.15337,30.25946
47.4,3.15996,30.24721
47.5,3.16682,30.27168
47.6,3.17325,30.25622
47.7,3.17989,30.24478
47.8,3.18686,30.28565
47.9,3.19339,30.2848
48,3.19998,30.30124
48.1,3.20678,30.28198
48.2,3.21337,30.28373
48.3,3.21996,30.30204
48.4,3.22677,30.29698
48.5,3.23336,30.29234
48.6,3.24005,30.32136
48.7,3.2468,30.32244
48.8,3.25339,30.30063
48.9,3.26003,30.33023
49,3.26673,30.33024
49.1,3.27337,30.29895
49.2,3.28007,30.32145
49.3,3.28671,30.34195
49.4,3.29336,30.32713
49.5,3.30011,30.35567
49.6,3.30664,30.3594
49.7,3.31334,30.33576
49.8,3.32014,30.3669
49.9,3.32668,30.35411
50,3.33327,30.33238
50.1,3.34012,30.37292
50.2,3.34671,30.36987
50.3,3.3533,30.3624
50.4,3.36011,30.37866
50.5,3.36675,30.37984
50.6,3.37334,30.36364
50.7,3.38014,30.37411
50.8,3.38668,30.37212
50.9,3.39327,30.37433
51,3.40012,30.3975
51.1,3.40671,30.37731
51.2,3.41335,30.40017
51.3,3.4201,30.37631
51.4,3.42675,30.38289
51.5,3.43339,30.3962
51.6,3.43998,30.39057
51.7,3.44668,30.38301
51.8,3.45343,30.42143
51.9,3.46007,30.39515
52,3.46666,30.38486
52.1,3.47346,30.40616
52.2,3.48005,30.4105
52.3,3.48664,30.37021
52.4,3.49339,30.42762
52.5,3.49998,30.40418
52.6,3.50668,30.42384
52.7,3.51348,30.40652
52.8,3.52002,30.40519
52.9,3.5266,30.42319
53,3.53352,30.43348
53.1,3.54005,30.38864
53.2,3.54664,30.42075
53.3,3.55344,30.42706
53.4,3.56009,30.40621
53.5,3.56668,30.40684
53.6,3.57343,30.40393
53.7,3.58002,30.402
53.8,3.58671,30.44378
53.9,3.59341,30.42396
54,3.6,30.38292
54.1,3.60669,30.43207
54.2,3.61344,30.41133
54.3,3.62003,30.39897
54.4,3.62678,30.43809
54.5,3.63337,30.41632
54.6,3.64007,30.40364
54.7,3.64682,30.42787
54.8,3.6533,30.40806
54.9,3.65994,30.40802
55,3.66685,30.42058
55.1,3.67334,30.39665
55.2,3.67998,30.39065
55.3,3.68689,30.41129
55.4,3.69343,30.39265
55.5,3.69996,30.38369
55.6,3.70671,30.38174
55.7,3.71335,30.37947
55.8,3.72005,30.38427
55.9,3.72685,30.36258
56,3.73339,30.3356
56.1,3.74003,30.35264
56.2,3.74678,30.33817
56.3,3.75337,30.27642
56.4,3.75996,30.31566
56.5,3.76671,30.30304
56.6,3.77341,30.27906
56.7,3.7801,30.28218
56.8,3.78675,30.27319
56.9,3.79334,30.21299
57,3.80014,30.25625
57.1,3.80668,30.19823
57.2,3.81332,30.16957
57.3,3.82012,30.19378
57.4,3.82671,30.13761
57.5,3.83335,30.08184
57.6,3.84016,30.04611
57.7,3.84664,29.93682
57.8,3.85334,29.89171
57.9,3.86014,29.84587
58,3.86662,29.73951
58.1,3.87327,29.64056
58.2,3.88018,29.56699
58.3,3.88671,29.42899
58.4,3.8933,29.30117
58.5,3.9001,29.16574
58.6,3.90675,29.01223
58.7,3.91334,28.82038
58.8,3.92003,28.55611
58.9,3.92668,28.31438
59,3.93337,28.12265
59.1,3.94007,27.80464
59.2,3.94671,27.54856
59.3,3.95341,27.32823
59.4,3.9601,27.11614
59.41,3.9651,0.80196
59.42,3.971,0.21373
